entities	language	tweet_id	text	cagri	kaan	label	cagri_labels	kaan_labels	emre	oguzhan	emre_labels	oguzhan_labels
	0	1374108793508880386	"İkiside VATAN HAYİNİ!
Ellerinde, tüyü bitmemiş yetimlerin ahı ve kanı var!
Soldaki Ermeni şerefsiz
sağdaki abd’ye hizmet eden şerefsiz!
Vatan hayini din düşmanı ŞEREFSİZLERİ öven’de, destekleyen’de kollayan da HAYİNDİR!
#hakanşükür ve #öcalan 
#terörist https://t.co/U5gRs2O7Cr"	1.0	2.0	-2.0	83:89%OTAR|90:98%OSIG|126:134%OSIG|136:172%OSIG	8:20%OSIG|83:89%OTAR|90:98%OSIG|107:110%OTAR|126:134%OSIG|136:173%HSIG|210:218%OSIG|221:231%HTAR|236:243%HTAR	1.0	1.0	type:textContent|117$129$1$highlight-offensivesignal$|156$182$3$highlight-offensivesignal$|192$198$4$highlight-offensivetarget$|199$207$5$highlight-offensivesignal$|216$234$6$highlight-offensivetarget$|235$243$7$highlight-offensivesignal$|245$257$8$highlight-offensivesignal$|258$269$9$highlight-offensivesignal$|270$282$10$highlight-offensivesignal$|319$324$2$highlight-offensivesignal$	type:textContent|117$129$1$highlight-offensivesignal$|156$182$2$highlight-offensivesignal$|192$198$3$highlight-offensivetarget$|199$207$4$highlight-offensivesignal$|216$234$5$highlight-offensivetarget$|235$243$6$highlight-offensivesignal$|245$257$7$highlight-offensivesignal$|258$269$8$highlight-offensivesignal$|270$281$9$highlight-offensivesignal$|319$324$10$highlight-offensivesignal$
	0	1265596460399296512	Ulan yavşaklar kürtleri bari oyununuza alet etmeyin ermeni artıkları Ülkeyi bölmek için girmediginiz kılık kalmadi  kürt oldunuz alevi oldunuz solcu oldunuz sağcı oldunuz ibne oldunuz nasıl bir yaratıksın lan siz  #KurdistanEngellenemez	1.0	2.0	-2.0	5:14%OSIG|52:58%OTAR|171:175%OSIG	5:14%OSIG|52:58%OTAR|59:68%OSIG|171:175%OSIG|194:204%OSIG|214:236%HSIG	1.0	2.0	type:textContent|114$123$1$highlight-offensivesignal$|161$177$2$highlight-offensivetarget$|280$284$3$highlight-offensivesignal$|318$321$4$highlight-offensivetarget$|324$345$5$highlight-offensivesignal$	type:textContent|114$123$2$highlight-offensivesignal$|161$177$3$highlight-offensivesignal$|280$284$4$highlight-offensivesignal$|318$321$5$highlight-hatetarget$|324$345$1$highlight-hatesignal$
233:280%HSIG	0	1308280263995138048	"BİZLER İSLAM'DAN ÇOK UZAKLAŞTIK

HİNDİSTAN'da İSLÂMa ZULÜM
Camii lerinin Yakıldığı
Üzerlerindeki kıyafetleri zorla çıkarılan 
Hintli Müslüman kadınların feryatlarını dünyaya duyurmak için  
SENde SES VER KARDEŞİM!
 Sende Duaya katil
       Allah'ın laneti kafirlerin üzerine olsun https://t.co/RVhVAMSOXy"	2.0	2.0	2.0	240:280%HSIG	233:280%HSIG	-1	-1		
	1	1277817524831297537	I hate Balloon x Baseball	0.0	0.0	0.0			-1	-1		
	0	1374172850064609287	"İyi de onu eleştirenler sizin düşman olduğunuz güruh değil bilâkis sizlerin en sevdikleriniz ""faizler düşsün"" diyince düşman oldular hocaya. Bugün #HepimizBoynukalınız diyip yarın vatan haini ilan etmezsiniz inşAllah..."	0.0	0.0	0.0			-1	-1		
76:84%OTAR|119:138%OSIG	0	1271468103604592647	Siyasi İslam çöktü çökecek diye Kürt'ler sevinmesin pek fazla. Kızıl elmacı Kemalist ideoloji onlardan kat ve kat daha faşist ve barbarlar.	1.0	1.0	1.0	76:84%OTAR|119:138%OSIG	76:84%OTAR|119:125%OSIG|129:135%OSIG	-1	-1		
	1	1376994628956737536	"Wales players made their feelings clear about racist abuse aimed at some of their players ahead of Tuesday's World Cup qualifier against Czech Republic.

👉 https://t.co/bMnCdnRu3p https://t.co/qv4TAApwyv"	0.0	0.0	0.0			-1	-1		
	0	1340747578133147651	Osmanlı gittikten sonra bir daha kan durmadı. Ne Arap yarım adasında ne de Afrikada...	0.0	0.0	0.0			-1	-1		
	1	1344643202469474305	"They seek #Trump here, they seek him there
Those Yankies seek him everywhere.
Is he golfing still or is he in hell?
That damned elusive President. 
341,000 and growing, more people have died from #COVID19 in the US this year than died in battle in World War II &amp; Vietnam combined."	2.0	1.0	-2.0	11:16%HTAR|101:114%HSIG	11:16%OTAR|84:91%OSIG|121:135%OSIG	1.0	1.0	type:textContent|120$125$1$highlight-offensivetarget$|216$223$2$highlight-offensivesignal$|230$236$3$highlight-offensivesignal$|237$244$4$highlight-offensivesignal$	type:textContent|119$125$5$highlight-offensivetarget$|216$223$3$highlight-offensivesignal$|230$236$1$highlight-offensivesignal$|237$244$2$highlight-offensivesignal$|245$254$4$highlight-offensivetarget$
21:35%OTAR|36:51%OSIG	1	1278053719700131850	If Susan Rice called Lindsey Graham a piece of shit then I nominate her for vice president.	1.0	1.0	1.0	21:35%OTAR|36:51%OSIG	21:35%OTAR	-1	-1		
211:222%OTAR|252:277%OSIG	1	1277708861575741440	"the sad thing is this year it wasn’t that hard to get europe, league performances worse than they have been in years and 1 extra spot bc of city, but predictably we make no signings in the summer or january and our manager plays every game for a draw 

what’s the fucking point"	1.0	1.0	1.0	211:222%OTAR|252:277%OSIG	264:271%OSIG	-1	-1		
	1	1344790790678040577	"#Trump charged people a lot of #money to come to his #MarALago #NewYearsEve #party and said he would attend, then left for #WashingtonDC to destroy our #democracy.

#LoserOfTheCentury 
#TrumpIsALoser
#GoodBye2020 
@realDonaldTrump 
#FoxNews 
@DonaldJTrumpJr 
#LoserInChief 
@VP"	1.0	0.0	-2.0	1:6%OTAR|166:184%OSIG|186:199%OSIG		1.0	1.0	type:textContent|110$115$1$highlight-offensivetarget$|249$260$2$highlight-offensivesignal$|262$271$5$highlight-offensivesignal$|275$292$7$highlight-offensivesignal$|295$308$6$highlight-offensivesignal$	type:textContent|109$115$1$highlight-offensivetarget$|249$271$2$highlight-offensivesignal$|274$292$3$highlight-offensivesignal$|294$308$4$highlight-offensivesignal$
191:199%OSIG|210:213%OSIG|224:230%OSIG	0	1278065396919283712	"Bir siyasetçiye, bir bakana muhalefet etmek başka bir şey, ailesine, bir kadına, bir anneye, yeni doğan bir bebeğe karşı nefret söylemi, cinsiyetçi söylemler, hakaret başka bir şey. Bu kadar aşağılık, bu kadar adi, bu kadar iğrenç olmayın...
#EsraAlbayrak
#HosgeldinHamzaSalih https://t.co/5MWUQdNl74"	1.0	1.0	1.0	191:199%OSIG|210:213%OSIG|224:230%OSIG	191:199%OSIG|210:213%OSIG|224:230%OSIG	-1	-1		
1:12%OTAR|102:114%OSIG	0	1276604642626068481	#ciceksepetiboykot Eğer LGBT'nin hastalık olduğunu düşünüyorsanız daha çok saygı duymanız gerekmez mi aq salakları	1.0	1.0	1.0	102:114%OSIG	1:12%OTAR|102:114%OSIG	-1	-1		
	0	1337795660574298114	"Fıtrat değişir sanma, bu kan o kandır! 

Sıkı dur sarı kanarya @Fenerbahce https://t.co/AX9vsjAd9F"	0.0	0.0	0.0			-1	-1		
	0	1365209018860531714	"26 Şubat 1992'de ermeni katil suruleri, Hocalı'da kadın, çocuk, yaşlı demeden 613 Azerbaycan Türk'ünü zalimce işkencelerle tüm dünyanın gözleri önünde katletti ama dünya bu katliama sessiz kaldı!
Katledilen kardeşlerimizin ruhları şad olsun! Katil ermenistan. 
#HocalıSoykırımı"	1.0		-2.0	242:247%OSIG|248:258%OTAR		-1	-1		
	1	1344168351883554817	So he’s American not Arabic, and he’s Christin and not a Muslim thank God , but HE STILL is A TERRORIST .. yes that was a domestic terrorist #AnthonyWarner May god protect the USA ..	0.0	0.0	0.0			-1	-1		
	0	1233875598667370501	Bilmediğimden soruyorum! Bu mülteciler neden sadece Yunanistan’a gitmek istiyor? Daha ucuz diye mi? Diğer Avrupa ülkelerine trenler var. Trenle gitmek uzun sürse de boğulmaktan daha iyi ve daha güvenli değil mi?! En kısa sürede gidip hükümetimize acil destek mi olmak istediler?	0.0	0.0	0.0			-1	-1		
	1	1344349700913201152	"Within a week

1. Vandalished property and palce saffron flag on Mosque.

2. CAA gun shooter join BJP

3. Three kashmiris encountered by   government forces.

#IslamoPhobiaInIndia
#SrinagarFakeEncounter https://t.co/vl7hF3MB6n"	0.0	0.0	0.0			-1	-1		
	1	1278108134955823105	"the first words out of biden’s mouth after he’s inaugurated should be
“russia,if you ever fuck with our elections or our troops again...EVER.
we will be at war that day and you will cease to exist. believe!”"	2.0	0.0	-2.0	71:77%HTAR|173:196%HSIG		2.0	2.0	type:textContent|180$186$1$highlight-hatetarget$|254$268$2$highlight-hatesignal$|291$305$3$highlight-hatesignal$	type:textContent|180$186$5$highlight-hatetarget$|254$268$7$highlight-hatesignal$|291$305$6$highlight-hatesignal$
	0	1302274197897572352	"Melisa, Babasının silahıyla kendini öldürdü. Babası, kızına ölmesi için baskı yapıyormuş. 
Katili babası ve kadın karşıtı, söylem ve eylemi olan başta siyasi ortam, diyanet, cemaatler, tarikatlar ve yetiştirdikleri insanlar ve oluşturdukları kadın karşıtı ortam... https://t.co/G3izMEpo4y"		0.0	-2.0			-1	-1		
	1	1376429283565002752	Cullen thinks South African addition will be shot in the arm for the Pro14 (via @rugby_ie) https://t.co/hOsHarsEVc	0.0	0.0	0.0			-1	-1		
	0	1232281076808265728	"İşte bu suriye askeri... Şerefsizlerin kadın erkek ayrımı yok.

Türk askerinin bu ve bunun gibi bütün ülkelere ders vermesi lazım. Allah'ım sen devletimize güç kuvvet ver. 
#suriye https://t.co/oaiKd1NYDc"	1.0	2.0	-2.0	8:21%OTAR|25:36%OSIG	8:21%HTAR|25:36%OSIG|63:129%HSIG	2.0	2.0	type:textContent|117$130$1$highlight-hatetarget$|134$145$2$highlight-offensivesignal$|188$218$3$highlight-hatetarget$|220$238$4$highlight-hatesignal$|283$289$5$highlight-hatetarget$	type:textContent|117$130$1$highlight-hatetarget$|134$145$2$highlight-offensivesignal$|148$170$3$highlight-offensivesignal$|188$218$4$highlight-hatetarget$|220$238$5$highlight-hatesignal$|283$289$6$highlight-hatetarget$
76:86%OTAR|121:169%OTAR|178:194%OSIG	1	1278022254438293506	I would rather have a Blue Dog Dem who voted with us 70% of the time than a Republican who votes with us 0% of the time. Those saying Booker should run as an Independent need to shut the fuck up.	1.0	1.0	1.0	76:86%OTAR|121:169%OTAR|178:194%OSIG	178:194%OSIG	-1	-1		
62:64%OTAR|95:99%OTAR|136:150%OSIG|189:191%OSIG|276:278%OSIG	0	1261043124702511106	arkadşlr tmm inanmıyoruz saygı duyuyoruz da bu kadar da olmaz aq ezan başlıyo ha bitti bitecek imam duaya baslıyo ulan sela mela derken beynim sikildi herkes duasını evde etsin hoca şiştik aq yeter bıktım ya az bize de saygı sizin yüzünüzden daha da agresif bi insan oluyorum aq	1.0	1.0	1.0	62:64%OSIG|95:99%OTAR|136:150%OSIG|189:191%OSIG|276:278%OSIG	62:64%OTAR|136:150%OSIG|189:191%OSIG|276:278%OSIG	-1	-1		
	1	1375793888775004163	5 Years Ago today we lost a close fought game 26 - 21 away @LittleboroughRU but revenge was sweet with the league decider at home only a few weeks later and MV coming out on top in Lancashire (North) #virtualgameday #happydays #returntoplay https://t.co/HNxXFa4Xbx	0.0	0.0	0.0			-1	-1		
25:29%OSIG|58:86%HSIG|103:115%OSIG|132:150%OSIG|152:171%HSIG|173:177%HTAR|179:183%HTAR|231:247%HSIG	0	1254738142789279744	"ERDOĞAN düşmanlığı adamı ibne bile yapıyor. Dikkat edin. 
Kudura kudura yaşayacaksınız. 
Bu ülke artık heykelciklerin ülkesi değil. Buna alışacaksınız. Haysiyetsiz ibneler #LGBT #lgbthaklarıinsanhaklarıdır #AliErbasYalnizDegildir #YallahHollandaya #yallaharabistana #ankarabarosu"	2.0	2.0	2.0	25:29%OSIG|58:86%HSIG|152:171%OSIG|173:177%HTAR	25:29%OSIG|58:86%HSIG|103:115%OSIG|132:150%OSIG|152:171%HSIG|173:177%HTAR|179:183%HTAR|231:247%HSIG	-1	-1		
	1	1277592125551415296	"Dear countrymen, 
Secularism in our country is like a no objection certificate fr extremists &amp; hinduphobic elements.A wolf disguised as a sheep
Remember,the best response to a religion that teaches hate,a sense of being superior,extremism etc. 
is ""better religion"" not secularism https://t.co/hm7MlhbLF5"	0.0	0.0	0.0			-1	-1		
27:33%OTAR|120:129%OSIG	1	1278086848213127175	Worse decision making ever Setíen?!? You kept Vidal in far too long, Griezman &amp; Fati came in too damn late, this is such crap! Losing points every other day. We just handed Real Madrid the title  🤬 #FCBarcelona #tragic #angry #byesetien	1.0	1.0	1.0	27:33%OTAR|120:129%OSIG	120:129%OSIG	-1	-1		
	0	1233402996542889985	En yakın arkadasım askerde ve bir hafta sonra kilise sınıra gidicek şu an oturdum ağlıyorum umutuma bir şey olursa dayanamam minik sıpam o benim	0.0	0.0	0.0			-1	-1		
11:13%OSIG|75:117%OTAR|124:153%OSIG	0	1253430970931281921	Virüse bak aq camiler kapalı, teravih yok, camilerden izmir marşı okunuyor solhaber, birgün, cumhuriyet gazetelerinde şu an zevkten bilgisayar yalıyorlar	1.0	1.0	1.0	11:13%OSIG|75:114%OTAR	11:13%OSIG|75:117%OTAR|124:153%OSIG	-1	-1		
0:19%OSIG|20:30%OTAR	0	1351234173948874753	"Allah belanı versin bein sport
Fenerbahçe başkanının 
Canlı yayınını vermiyorsun..
#abdulkerimdurmaz"	1.0	1.0	1.0	0:19%OSIG|20:30%OTAR	0:19%OSIG	-1	-1		
	0	1336786540740022273	Selahattin Demirtaş onurlu haysiyetli namuslu Kürt ve Türk halkın onurudur bu dünyada bir değerdir o değerli bir insandır ona terörist diyen bir terörist in tanımını öğrensin #SelahattinDemirtasıSerbestBırakın	0.0	0.0	0.0			-1	-1		
	0	1336781824304013313	Bu ne yahu CHP kâbus gibi.Tecavüz,uyuşturucu,yalan,Lgbt desteği ibnelik,hainlik.......#MansurunTorbacısı	1.0	2.0	-2.0	11:14%OTAR|15:25%OSIG|51:55%OTAR|64:71%OSIG|72:79%OSIG	11:14%HTAR|15:25%OSIG|26:79%HTAR	1.0	1.0	type:textContent|120$123$1$highlight-offensivetarget$|124$134$2$highlight-offensivesignal$|135$142$3$highlight-offensivesignal$|160$172$4$highlight-offensivesignal$|173$180$5$highlight-offensivesignal$|181$188$6$highlight-offensivesignal$	type:textContent|120$123$1$highlight-offensivetarget$|124$134$2$highlight-offensivesignal$|135$142$6$highlight-offensivesignal$|160$172$3$highlight-offensivesignal$|173$180$4$highlight-offensivesignal$|181$188$5$highlight-offensivesignal$
22:27%OTAR|114:162%OSIG	1	1277978283599003652	I will tune in to the Trump concession speech before to tuned in to the Joe Biden acceptance speech just took see the stupid look on his smug ass, orange ass face.	1.0	1.0	1.0	22:27%OTAR|114:162%OSIG	114:157%OSIG	-1	-1		
	0	1372527934980915204	Putin'den kendisine 'katil' diyen Biden'a: Ona sağlık dilerim https://t.co/6ZfQo3pXgU	0.0	0.0	0.0			-1	-1		
	0	1233196656226689025	"Allahım nurunu eksik etme,
Allahım nurunu tamamla,
Allahım ailelerinin içine refah ver,
Allahım dünyayı zalimlerin başlarına yık,
Allahım müslüman coğrafyayı koru,
Allahım gökten ordular indir,
Allahım ragaip nurundan nasiplendir,
Allahım zalimleri kahret,

#sehitlerimizvar"	2.0	1.0	-2.0	115:128%HSIG	115:128%OSIG|249:255%OSIG	2.0	2.0	type:textContent|213$221$3$highlight-hatetarget$|224$237$4$highlight-hatesignal$|273$301$5$highlight-hatesignal$|348$356$6$highlight-hatetarget$|358$364$7$highlight-hatesignal$	type:textContent|213$221$4$highlight-hatetarget$|224$237$5$highlight-hatesignal$|273$301$2$highlight-hatesignal$|348$356$1$highlight-hatetarget$|358$364$3$highlight-offensivesignal$
	1	1377320936748240899	Another chapter in the Maggie Haney saga: she's suing @USAGym over the suspension proceedings, saying they were (to put it very simply) unfair https://t.co/3AmuN0NIYa	0.0	0.0	0.0			-1	-1		
204:210%OTAR|211:221%OSIG	1	1376896934636630017	"Acts of cowardice by #PakistanSponsoredTerrorism on innocent #Shias should be condemned by the global community. The bomb attack in #Parachinar by #Taliban in 2017 stands as testimony to the hypocrisy of Muslim charlatans claiming to be 'Champions of Islamic Rights'.
@TarekFatah"	1.0	1.0	1.0	204:210%OTAR|211:221%OSIG	211:221%OSIG	-1	-1		
89:91%OSIG|139:156%OSIG	0	1247946397267251202	Yine birileri cikmis musluman ulke sacmaligi ile atar gider yapıyor. Hangi Müslüman ülke aq? Türkiye'de yasiyorsunuz. Müslüman ülke arayan yallah Arabistana	1.0	1.0	1.0	89:91%OSIG|139:156%OSIG	89:91%OSIG|139:156%OSIG	-1	-1		
	0	1368210983643209733	"Hilafet öyle mi şu hilafeti savunduğuz kadar ENSER VAKFINDA TECAVÜZE uğrayan çocukları da savunsaydiniz ya islam da #YenidenHilafet geçiyor ise ""ADALET""li olmanız da gerekmiyor mu siz tecavüz uğrarken susun sonra çıkın hilafet İslam'da geçiyor İslam'da 'İLİM VE İRFAN'da geçiyor."	0.0	0.0	0.0			-1	-1		
	1	1277527804880420865	Who tf is outside making all this damn noise?? Are they playing basketball?????	0.0	0.0	0.0			-1	-1		
	1	1277745011057180674	My parents found my tik tok where my username has whore in it, I post thirst traps, say a multitude of swear words, and also confess I’m kinda gay... well it was nice knowing y’all but it’s finally time I go through with ending my shit :)	0.0	0.0	0.0			-1	-1		
	0	1344366197954015233	Son yıllarda artan ahlaksızlığın taciz hırsızlık çocuk tecavüzleri ve kadın cinayetlerinin tek nedeni topluma dayatılan arap kültürüdür.	1.0	0.0	-2.0	19:101%OSIG|120:124%OTAR		1.0	1.0	type:textContent|128$136$1$highlight-offensivesignal$|142$147$2$highlight-offensivesignal$|148$157$3$highlight-offensivesignal$|158$175$4$highlight-offensivesignal$|179$196$5$highlight-offensivesignal$|229$241$6$highlight-offensivetarget$	type:textContent|128$136$2$highlight-offensivesignal$|142$147$7$highlight-offensivesignal$|148$157$8$highlight-offensivesignal$|158$175$9$highlight-offensivesignal$|179$196$10$highlight-offensivesignal$|229$241$6$highlight-offensivetarget$
	1	1377010153359167488	"Is talking to people with differing gardening knowledge and practices than what you’ve learned like people of differing religions? 
“Be nice while doubting half they say”
Watering houseplants from the top is how you get fungus gnats  CUZ THE SUN DOESN’T HIT THE SOIL TO KILL EM?"	0.0	0.0	0.0			-1	-1		
0:3%OSIG|32:35%OTAR|54:61%OSIG|77:80%OTAR|114:127%OSIG	1	1278077435611877376	"WTF is this? Why wasn't there a VAR check? That was a fucking dive!!
Is that VAR only here to favour real madrid? Fucking cunts. THAT WAS NOT A PENALTY!"	1.0	1.0	1.0	32:35%OTAR|77:80%OTAR|114:127%OSIG	0:3%OSIG|54:61%OSIG|114:127%OSIG	-1	-1		
	0	1277950759129288704	"Bunlar yeni doğum yapmış bir annenin iffetine dil uzatacak kadar şerefsiz,
Yeni dünyaya gelmiş bir bebeği kendilerine malzeme edecek karaktersizler.
Bizim için ağızlarına geleni rahatlıkla söyleyende bunlar,
Ülke diktatörlükle yönetiliyor diye yırtınanlarda...
#namussuzsunuz https://t.co/zFmOlcig3K"	1.0	2.0	-2.0	65:73%OSIG|133:147%OSIG|262:275%OSIG	65:73%OSIG|133:144%OSIG|262:275%OSIG	1.0	1.0	type:textContent|109$115$1$highlight-offensivetarget$|174$182$2$highlight-offensivesignal$|242$256$4$highlight-offensivesignal$|371$384$3$highlight-offensivesignal$	type:textContent|109$115$1$highlight-offensivetarget$|174$182$2$highlight-offensivesignal$|242$256$3$highlight-offensivesignal$|371$384$4$highlight-offensivesignal$
0:5%OTAR|45:63%OSIG|172:177%OSIG|178:185%OTAR	1	1276935011023949826	Kurds wo support PKK block me rn, bcz theyre fucking terrorists! Turkey is bombing us bcz of them and u support them? And whoever supports pkk have no difference with that bitch erdugan for me! Yikess #TurkeyIsBombingKurdistan	1.0	1.0	1.0	0:5%OTAR|45:63%OSIG|172:177%OSIG|178:185%OTAR	45:63%OSIG|172:177%OSIG|178:185%OTAR	-1	-1		
	1	1377294261360623617	I hate gay people mio was like I know what i want for christmas ^__^ and stuck his hand down shuns pants. GO TO HELL		1.0	-2.0			-1	-1		
105:128%HTAR|142:164%HSIG|166:192%HSIG|194:234%HSIG	0	1343487240647958528	"Rehberin emri açıktır. (İmam Hamanei). Şehid Kasım Süleymani ve Ebu Mehdi Mühendisi'nin katline karışan, Trump ve uygulayıcıları kısas olarak cezalandırılacaklardır. Bu kan yerde kalmayacaktır. Zamanı geldiğinde bu ceza uygulanacaktır. 

Seyyid Hasan Nasrallah"	2.0	2.0	2.0	105:128%HTAR|166:192%HSIG|194:234%HSIG	105:110%HTAR|142:164%HSIG|169:192%HSIG|215:234%HSIG	-1	-1		
71:79%OTAR|80:90%OSIG	1	1343955491609858048	"Russian peacekeepers aren't  not act in accordance with the agreement. Armenian terrorists attack our soldiers from the forests, and the Russian peacekeepers turn a blind eye. Thus , it makes no sense  them to stay in Karabakh.
#RussianSoldierGoHome 
#TurkishSoldierCome"	1.0	1.0	1.0	71:79%OTAR|80:90%OSIG	71:79%OTAR|80:90%OSIG	-1	-1		
48:56%OSIG|57:61%HTAR|79:140%HSIG|159:164%OSIG	1	1277373671213015041	"#TurkeyInvadesKurdistan

next time i’m seeing a bitchass Turk idc who they are i’ll start spitting and sneezing on them so they get paranoid. chemical warfare bitch"	2.0	2.0	2.0	48:56%OSIG|57:61%HTAR|90:119%HSIG	48:56%OSIG|57:61%HTAR|79:140%HSIG|159:164%OSIG	-1	-1		
31:126%OTAR|128:133%OSIG	0	1273937990482636801	BİRLİKTE GÜZELSİN TÜRKİYE! ama kürt, ermeni, çingene, eşcinsel, türbanlı, ateist, alevi, türbansız, laz, sunni, şii, hristiyan, hariç	1.0	1.0	1.0	31:126%OTAR|128:133%OSIG		-1	-1		
	0	1278061068720508935	"Siz Siyasilerin ekranlarda söylediği bazı kelimler

Şerefsiz
Vatan Haini
Namussuz
Arlanmaz
Yalancı

Biraz imam Cemat durumu degilmi?

İnsan olamayanların kendilerinden olmayana  hakareti hak görme edepsizligi
@Akparti
@MHP_Bilgi
@herkesicinCHP
@iyiparti
#AhlaksızErcanTutuklansın"		1.0	-2.0		133:153%OSIG|197:208%OSIG	-1	-1		
